region,cost,pi,cppi
Ho Chi Minh,34851,6475.64,5.381843237
Ha Noi,26967,4910.98,5.491206262
Binh Duong,4699,947.22,4.96117296
Dong Nai,3813,839.91,4.539282234
Da Nang,3472,651.54,5.328148045
Haiphong,2562,387.92,6.603329011
Bac Ninh,1941,395.3,4.910345651
Thanh Hoa,1703,414.76,4.106955917
Nghe An,1655,349.81,4.729917484
Can Tho,1636,264,6.196763568
Quang Ninh,1614,413.44,3.902911257
Djak Lak,1598,429.59,3.719626563
Ba Ria-Vung,1558,334.35,4.659173752
Khanh Hoa,1511,359.84,4.200150192
Lam Djong,1499,369.64,4.056374302
Hai Duong,1472,267.35,5.50478885
Quang Nam,1459,376.98,3.870482357
Thua Thien Hue,1410,171.49,8.224467537
An Giang,1217,221.35,5.49799265
Nam Dinh,1201,207.97,5.77669222
Vinh Phuc,1201,216.66,5.542795232
Binh Dinh,1173,252.08,4.652515416
Hung Yen,1158,178.52,6.489192555
Bac Giang,1140,206.13,5.529688536
Thai Binh,1085,178.02,6.097530283
Thai Nguyen,1080,265.54,4.067677035
Kien Giang,1074,211.41,5.081440419
Quang Ngai,1037,233.28,4.445774829
Binh Thuan,1037,268.81,3.856651259
Tien Giang,1020,190.73,5.348520505
Djong Thap,969,172.12,5.6279986
Long An,959,243.3,3.942997312
Gia Lai,958,186.83,5.129785281
Phu Tho,918,224.09,4.09803508
Tay Ninh,861,241.61,3.562266007
Binh Phuoc,718,207.69,3.456126877
Ben Tre,699,95.84,7.295196849
Ninh Binh,696,120.85,5.758527125
Ha Nam,679,85.69,7.923063158
Vinh Long,664,121.61,5.456284796
Ha Tinh,633,106.19,5.959234975
Soc Trang,627,133.05,4.714888711
Phu Yen,624,138.91,4.489688741
Ca Mau,619,152.45,4.063228947
Quang Binh,599,144.61,4.142376302
Quang Tri,551,143.93,3.825001598
Tra Vinh,524,114.29,4.582309581
Lao Cai,520,130.14,3.992956777
Son La,498,196.09,2.538135632
Lang Son,471,108.35,4.350436899
Hoa Binh,465,113.27,4.108598446
Ninh Thuan,440,122.78,3.581164278
Dak Nong,417,117.93,3.537350182
Kon Tum,395,76.11,5.189971988
Hau Giang,372,43.23,8.60885288
Bac Lieu,368,81.12,4.53568485
Yen Bai,362,89.74,4.036845164
Tuyen Quang,359,94.53,3.794579805
Ha Giang,311,123.15,2.527112148
Cao Bang,285,112.96,2.525935296
Dien Bien,268,84.99,3.149206495
Lai Chau,198,50.28,3.93801967
Bac Kan,191,44.19,4.311809482
